"quarter","eu_2state","ue_2state","ur","mu","pi_eu_3state","pi_ue_3state","v","gdpc1"
1948-01-01,9.89770234035001,91.2031542708691,3.73333333333333,8.66666666666667,NA,NA,NA,2239.682
1948-04-01,8.97720857086991,92.306306491955,3.66666666666667,8.8,NA,NA,NA,2276.69
1948-07-01,9.58550170907522,92.1487047919354,3.76666666666667,8.63333333333333,NA,NA,NA,2289.77
1948-10-01,9.91965900724213,91.0656185891828,3.83333333333333,8.46666666666667,NA,NA,NA,2292.364
1949-01-01,11.0189907957409,87.4571575540956,4.66666666666667,8.26666666666667,NA,NA,NA,2260.807
1949-04-01,11.7197626811962,81.4919679774027,5.86666666666667,9.3,NA,NA,NA,2253.128
1949-07-01,12.2986546148326,79.3161051244842,6.7,11.1666666666667,NA,NA,NA,2276.424
1949-10-01,11.6113962228781,85.1232919318091,6.96666666666667,11.4333333333333,NA,NA,NA,2257.352
1950-01-01,9.79417053829295,80.9660908329502,6.4,11.8333333333333,NA,NA,NA,2346.104
1950-04-01,9.43184557778855,84.4966447945249,5.56666666666667,12.8,NA,NA,NA,2417.682
1950-07-01,8.37199723990183,86.8871923914953,4.63333333333333,12.3,NA,NA,NA,2511.127
1950-10-01,9.02990640498138,90.3259703625099,4.23333333333333,11.2333333333333,NA,NA,NA,2559.214
1951-01-01,8.4260125991774,93.1881415783627,3.5,10.5,NA,NA,2387.85468443709,2593.967
1951-04-01,8.31257920484125,93.038093769315,3.1,9.73333333333333,NA,NA,2476.54146823187,2638.898
1951-07-01,9.04946575311458,93.1637319909695,3.16666666666667,9.13333333333333,NA,NA,2423.67598097208,2693.259
1951-10-01,8.18520765801958,92.406664711677,3.36666666666667,9.3,NA,NA,2434.94769210021,2699.156
1952-01-01,8.69667083777149,95.0156858546347,3.06666666666667,8.83333333333333,NA,NA,2537.3018865266,2727.954
1952-04-01,8.73727342138429,94.0110278472678,2.96666666666667,8.03333333333333,NA,NA,2374.82485354907,2733.8
1952-07-01,8.3826743239786,93.5343661960136,3.23333333333333,7.73333333333333,NA,NA,2354.15337380105,2753.517
1952-10-01,7.53541259673802,93.2727199742092,2.83333333333333,9.13333333333333,NA,NA,2620.89758610588,2843.941
1953-01-01,8.11671994302211,95.7606384327727,2.7,8.73333333333333,NA,NA,2744.93792770108,2896.811
1953-04-01,7.2115676298851,94.2075098906356,2.56666666666667,7.96666666666667,NA,NA,2536.92036165419,2919.206
1953-07-01,8.47367409001608,94.3378162924656,2.73333333333333,7.66666666666667,NA,NA,2173.50902146599,2902.785
1953-10-01,10.3782704532691,88.7286999882139,3.7,7.7,NA,NA,1704.85207017313,2858.845
1954-01-01,10.7640947712473,83.2704437177166,5.26666666666667,9.6,NA,NA,1434.89185850468,2845.192
1954-04-01,10.1256248274208,82.9047057436736,5.8,11.6,NA,NA,1314.07817742337,2848.305
1954-07-01,9.75872853567191,79.9582333590212,5.96666666666667,12.7333333333333,NA,NA,1256.8132925154,2880.482
1954-10-01,9.0744361190367,84.6945175278951,5.33333333333333,13.3,NA,NA,1322.16494869353,2936.852
1955-01-01,7.80217032124185,81.3827671426832,4.73333333333333,13.6666666666667,NA,NA,1577.3900228372,3020.746
1955-04-01,8.38057106338278,87.8901845334238,4.4,14.0333333333333,NA,NA,1811.7962085154,3069.91
1955-07-01,8.90812591866026,87.3396357191933,4.1,12.6,NA,NA,2049.10163704027,3111.379
1955-10-01,8.53070584853308,87.8428288172314,4.23333333333333,11.6,NA,NA,2166.93158648397,3130.068
1956-01-01,8.76882264069522,88.7667947845963,4.03333333333333,11.9333333333333,NA,NA,2281.91898920499,3117.922
1956-04-01,9.20246309162587,87.098949299497,4.2,10.5,NA,NA,2198.67621975241,3143.694
1956-07-01,8.64692166064492,89.8909746942225,4.13333333333333,11.4333333333333,NA,NA,2088.51010424901,3140.874
1956-10-01,8.87303122262951,87.0814692384059,4.13333333333333,11.3,NA,NA,2114.75451994747,3192.57
1957-01-01,8.10481637836348,88.399823051198,3.93333333333333,10.6333333333333,NA,NA,2093.22447090832,3213.011
1957-04-01,8.56486333997086,86.5802801461522,4.1,10.4,NA,NA,1901.79186074363,3205.97
1957-07-01,8.66984777635087,85.7907367286853,4.23333333333333,10.1333333333333,NA,NA,1776.5863621879,3237.386
1957-10-01,9.35626850749023,78.8475124487546,4.93333333333333,10.6333333333333,NA,NA,1399.53306305321,3203.894
1958-01-01,10.6700465787389,73.903188202453,6.3,10.9,NA,NA,1233.53720234121,3120.724
1958-04-01,10.1588475647661,73.5431907441523,7.36666666666667,13.2,NA,NA,1143.78478643751,3141.224
1958-07-01,9.48481997115761,75.1616505964863,7.33333333333333,15.6,NA,NA,1239.55741714651,3213.884
1958-10-01,9.24028023462646,79.3508553600825,6.36666666666667,16.2,NA,NA,1316.32807015417,3289.032
1959-01-01,8.74359899127766,80.8306509246363,5.83333333333333,15.7,NA,NA,1539.56995827423,3352.129
1959-04-01,8.92949069115285,82.6538669674389,5.1,14.8333333333333,NA,NA,1775.27946596475,3427.667
1959-07-01,9.45289234066292,80.5115572069005,5.26666666666667,13.9,NA,NA,1777.33844236298,3430.057
1959-10-01,9.87879107611601,84.3316587912552,5.6,13.0333333333333,NA,NA,1686.92921995943,3439.832
1960-01-01,9.39148041464054,83.37025855072,5.13333333333333,13.2,NA,NA,2085.23303409809,3517.181
1960-04-01,9.89207212601317,83.5330505664993,5.23333333333333,12.1333333333333,NA,NA,1950.36419357082,3498.246
1960-07-01,9.62855153657591,79.3618087812496,5.53333333333333,12.5666666666667,NA,NA,1805.10938822572,3515.385
1960-10-01,10.4958000483575,78.4442753256833,6.26666666666667,13.2666666666667,NA,NA,1636.0680467974,3470.278
1961-01-01,10.2095578619483,75.8144324509637,6.8,13.8,NA,NA,1568.93682516536,3493.703
1961-04-01,9.67865646972242,73.9388873432055,7,15.7666666666667,NA,NA,1638.77304545566,3553.021
1961-07-01,9.9152172835682,78.4987605272302,6.76666666666667,16.8,NA,NA,1775.08466711633,3621.252
1961-10-01,9.52770451791354,81.1668154882382,6.2,16.2333333333333,NA,NA,1949.90526712177,3692.289
1962-01-01,9.06598085186764,80.8547549825569,5.63333333333333,15.4333333333333,NA,NA,2028.55963277602,3758.147
1962-04-01,8.7697900772975,79.9895600621203,5.53333333333333,15.1666666666667,NA,NA,2040.4837752769,3792.149
